serial number,Spacers Order
1,"6, 5, 4, 3, 2, 1"
2,"17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 1"
3,"32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18"
4,"52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33"
5,"10, 9, 56, 55, 54, 53"
6,"58, 57"
7,"65, 64, 63, 62, 61, 60, 59"
8,"68, 67, 66"
