serial number,Spacers Order
1,"2, 1"
2,"8, 7, 6, 5, 4, 3, 1"
3,"10, 9, 1"
4,"24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 1"
5,"32, 31, 30, 29, 28, 27, 26, 25, 14, 13, 12, 11, 1"
6,"32, 31, 30, 33, 29, 28, 14, 13, 12, 11, 1"
7,"39, 38, 37, 36, 35, 12, 34, 1"
