serial number,Spacers Order
1,"10, 9, 8, 7, 6, 5, 4, 3, 2, 1"
2,"11, 12, 13, 14, 15, 16, 17, 18, 19, 1"
3,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36"
