CT_number,CRISPR1-Serial number,CRISPR2-Serial number,CRISPR3-Serial number,CRISPR6-Serial number
363,221,249,66,
364,222,250,99,
365,122,251,,
366,73,174,,
367,223,171,100,
368,17,253,101,
369,224,254,76,
370,78,49,102,
371,225,31,2,
372,226,131,,
373,21,185,10,
374,227,255,,
375,228,2,,
376,229,197,,
377,63,256,34,
378,171,257,74,21
379,195,258,89,
380,230,67,103,
381,231,259,,
382,232,54,71,
383,233,260,,
384,234,54,34,
385,235,261,39,
386,121,54,34,
387,236,262,,
388,237,182,34,
389,238,263,,
390,239,54,34,
391,240,264,,
392,241,155,,
393,242,224,,
394,58,139,2,
395,243,42,104,
396,63,54,105,
397,140,224,,
398,,175,30,
399,244,174,,
400,1,265,,
401,99,266,,
402,245,267,,
403,246,268,,
404,21,16,11,19
405,247,197,106,
406,130,269,,
407,248,271,107,
408,104,192,,
409,249,272,108,29
410,250,273,,
411,73,274,,
412,251,275,109,
413,215,276,,
414,252,277,110,
415,1,278,,
416,253,45,111,9
417,18,42,15,30
418,6,76,112,
419,254,279,113,31
420,255,45,,
421,256,78,38,
422,257,281,41,
423,258,282,,
424,1,90,,
425,259,282,34,
426,260,283,114,32
427,117,284,115,33
428,58,285,2,
429,261,7,,
430,262,73,,
431,263,286,116,34
432,264,287,,
433,265,24,,
434,57,154,2,
435,266,288,,
436,267,189,,
437,268,289,117,
438,269,290,76,
439,23,291,118,23
440,23,292,118,23
441,251,293,107,
442,99,294,,
443,270,95,,
444,271,263,,
445,251,295,107,
446,8,296,1,
447,25,45,119,10
448,272,297,34,
449,273,31,2,
450,274,298,120,35
451,275,57,30,
452,276,299,,
453,224,300,121,
454,227,301,,
455,269,302,122,
456,277,303,123,
457,1,304,,
458,278,57,30,
459,124,306,,
460,279,307,106,
461,23,171,124,
462,251,308,107,
463,251,309,107,
464,280,310,125,
465,281,311,76,
466,21,185,126,19
467,227,227,,
468,58,33,2,
469,282,312,2,
470,8,313,1,
471,283,314,,
472,284,57,36,
473,285,315,,
474,286,316,107,
475,287,317,,
476,288,318,127,36
477,289,66,,
478,63,319,34,
479,290,185,128,
480,130,320,,
481,291,321,61,37
482,269,322,76,
483,292,171,124,
484,21,171,126,
485,293,281,41,
486,294,323,129,38
487,63,324,130,
488,295,325,,
489,277,326,76,
490,122,327,,
491,17,328,78,24
492,13,329,,
493,296,84,13,27
494,5,330,,
495,18,42,131,39
496,13,331,,
497,297,332,,
498,124,333,,
499,298,47,,
500,299,75,132,
501,124,334,,
502,5,335,,
503,300,174,,
504,58,336,2,
505,56,337,132,
506,301,45,,
507,25,45,133,9
508,302,338,22,
509,303,339,,
510,304,340,,
511,,270,84,
512,,280,84,
513,,305,84,
