CT_number,CRISPR1-Serial number,CRISPR2-Serial number,CRISPR3-Serial number,CRISPR6-Serial number
1,1,1,,
2,2,2,,
3,3,3,,
4,4,6,,
5,5,1,,
6,6,7,,
7,7,8,,
8,8,9,,
9,9,10,1,
10,10,11,,
11,11,12,,
12,12,14,,
13,13,17,3,2
14,14,18,,
15,14,19,,
16,15,20,,
17,16,21,,
18,17,22,,
19,4,23,,
20,18,24,4,3
21,19,25,5,4
22,,4,,
23,,5,,
24,,13,2,1
25,,15,,
26,,16,,
